,id,neighborhood_id,borough_id,latitude,longitude,roomtype_id,price,number_of_reviews,superhost,borough,neighbourhood,room_type
1130,6078234,127,3,40.78866,-73.9788,1,149,82,1,Manhattan,Upper West Side,Entire home/apt
1139,6260442,127,3,40.77894,-73.981,1,322,104,1,Manhattan,Upper West Side,Entire home/apt
1140,6276574,127,3,40.78572,-73.9749,1,175,31,1,Manhattan,Upper West Side,Entire home/apt
1163,6972089,127,3,40.78223,-73.9843,1,135,13,1,Manhattan,Upper West Side,Entire home/apt
1164,6972192,127,3,40.78216,-73.9845,1,140,21,1,Manhattan,Upper West Side,Entire home/apt
1165,6985434,127,3,40.78201,-73.9838,1,130,13,1,Manhattan,Upper West Side,Entire home/apt
1166,6985888,127,3,40.78263,-73.9842,1,140,10,1,Manhattan,Upper West Side,Entire home/apt
1188,7630422,127,3,40.78733,-73.9736,1,220,210,1,Manhattan,Upper West Side,Entire home/apt
1213,9029289,127,3,40.77739,-73.9823,1,166,83,1,Manhattan,Upper West Side,Entire home/apt
1217,9230738,127,3,40.77431,-73.9788,1,202,18,1,Manhattan,Upper West Side,Entire home/apt
1227,9461851,127,3,40.78743,-73.9686,1,119,62,1,Manhattan,Upper West Side,Entire home/apt
1229,9476774,127,3,40.78613,-73.9732,1,360,2,1,Manhattan,Upper West Side,Entire home/apt
1254,10165064,127,3,40.79437,-73.9715,1,224,245,1,Manhattan,Upper West Side,Entire home/apt
1256,10308738,127,3,40.79121,-73.9696,1,281,102,1,Manhattan,Upper West Side,Entire home/apt
1290,12004547,127,3,40.78466,-73.9728,1,200,164,1,Manhattan,Upper West Side,Entire home/apt
1326,13236366,127,3,40.78352,-73.976,1,171,3,1,Manhattan,Upper West Side,Entire home/apt
1332,13358265,127,3,40.77657,-73.9811,1,200,158,1,Manhattan,Upper West Side,Entire home/apt
1336,13466302,127,3,40.78107,-73.9835,1,325,9,1,Manhattan,Upper West Side,Entire home/apt
1341,13549713,127,3,40.78365,-73.9763,1,219,2,1,Manhattan,Upper West Side,Entire home/apt
1346,13864889,127,3,40.78173,-73.9807,1,125,44,1,Manhattan,Upper West Side,Entire home/apt
1348,13926702,127,3,40.78371,-73.976,1,103,20,1,Manhattan,Upper West Side,Entire home/apt
1351,14093957,127,3,40.77764,-73.9765,1,265,21,1,Manhattan,Upper West Side,Entire home/apt
1356,14357698,127,3,40.78352,-73.9761,1,185,16,1,Manhattan,Upper West Side,Entire home/apt
1357,14446717,127,3,40.77554,-73.9809,1,78,15,1,Manhattan,Upper West Side,Entire home/apt
1370,15528972,127,3,40.8004,-73.9613,1,345,83,1,Manhattan,Upper West Side,Entire home/apt
1377,15943475,127,3,40.77866,-73.9836,1,200,79,1,Manhattan,Upper West Side,Entire home/apt
1387,16323724,127,3,40.7837,-73.9823,1,160,2,1,Manhattan,Upper West Side,Entire home/apt
1388,16333020,127,3,40.7834,-73.9812,1,750,1,1,Manhattan,Upper West Side,Entire home/apt
1393,16725326,127,3,40.7837,-73.9823,1,125,3,1,Manhattan,Upper West Side,Entire home/apt
1394,16846366,127,3,40.7842,-73.9844,1,995,26,1,Manhattan,Upper West Side,Entire home/apt
1401,17447150,127,3,40.78671,-73.9746,1,186,6,1,Manhattan,Upper West Side,Entire home/apt
1404,17651665,127,3,40.7837,-73.9823,1,90,0,1,Manhattan,Upper West Side,Entire home/apt
1405,17667639,127,3,40.79456,-73.976,1,215,45,1,Manhattan,Upper West Side,Entire home/apt
1416,18160364,127,3,40.7837,-73.9823,1,136,1,1,Manhattan,Upper West Side,Entire home/apt
1417,18169166,127,3,40.7837,-73.9823,1,119,1,1,Manhattan,Upper West Side,Entire home/apt
1420,18327630,127,3,40.76814,-73.9824,1,325,107,1,Manhattan,Upper West Side,Entire home/apt
1439,19122483,127,3,40.79342,-73.9741,1,800,8,1,Manhattan,Upper West Side,Entire home/apt
1443,19212370,127,3,40.77469,-73.9871,1,168,82,1,Manhattan,Upper West Side,Entire home/apt
1449,19470210,127,3,40.77761,-73.9814,1,250,46,1,Manhattan,Upper West Side,Entire home/apt
1451,19524083,127,3,40.7802,-73.9872,1,273,54,1,Manhattan,Upper West Side,Entire home/apt
1454,19764868,127,3,40.7837,-73.9823,1,120,1,1,Manhattan,Upper West Side,Entire home/apt
1458,20331468,127,3,40.78588,-73.9768,1,289,3,1,Manhattan,Upper West Side,Entire home/apt
1473,21366948,127,3,40.78581,-73.9754,1,250,43,1,Manhattan,Upper West Side,Entire home/apt
1478,21551617,127,3,40.77684,-73.9779,1,400,21,1,Manhattan,Upper West Side,Entire home/apt
1486,22037644,127,3,40.78805,-73.9797,1,118,37,1,Manhattan,Upper West Side,Entire home/apt
1488,22063652,127,3,40.78699,-73.9691,1,180,56,1,Manhattan,Upper West Side,Entire home/apt
1489,22108130,127,3,40.78373,-73.9823,1,95,0,1,Manhattan,Upper West Side,Entire home/apt
1491,22156875,127,3,40.77738,-73.9819,1,110,53,1,Manhattan,Upper West Side,Entire home/apt
1497,22360132,127,3,40.78181,-73.9837,1,400,49,1,Manhattan,Upper West Side,Entire home/apt
1505,22663674,127,3,40.7825,-73.9814,1,568,62,1,Manhattan,Upper West Side,Entire home/apt
1508,22881110,127,3,40.78936,-73.9732,1,99,22,1,Manhattan,Upper West Side,Entire home/apt
1515,23633288,127,3,40.80084,-73.9618,1,155,7,1,Manhattan,Upper West Side,Entire home/apt
1521,24358619,127,3,40.78373,-73.9823,1,90,0,1,Manhattan,Upper West Side,Entire home/apt
1528,24889615,127,3,40.80308,-73.9683,1,105,28,1,Manhattan,Upper West Side,Entire home/apt
1531,25135772,127,3,40.80079,-73.9704,1,250,46,1,Manhattan,Upper West Side,Entire home/apt
1548,26777561,127,3,40.78833,-73.9816,1,150,7,1,Manhattan,Upper West Side,Entire home/apt
1554,27131580,127,3,40.79141,-73.9687,1,100,38,1,Manhattan,Upper West Side,Entire home/apt
1556,27196874,127,3,40.78405,-73.9824,1,175,2,1,Manhattan,Upper West Side,Entire home/apt
1558,27389714,127,3,40.76916,-73.9849,1,230,0,1,Manhattan,Upper West Side,Entire home/apt
1559,27389930,127,3,40.76932,-73.9862,1,220,0,1,Manhattan,Upper West Side,Entire home/apt
1560,27417822,127,3,40.77882,-73.9829,1,250,0,1,Manhattan,Upper West Side,Entire home/apt
1561,27425828,127,3,40.79141,-73.9741,1,175,0,1,Manhattan,Upper West Side,Entire home/apt
1566,27544396,127,3,40.79242,-73.9745,1,295,48,1,Manhattan,Upper West Side,Entire home/apt
1572,28208166,127,3,40.77626,-73.9804,1,93,4,1,Manhattan,Upper West Side,Entire home/apt
1580,29150883,127,3,40.78492,-73.9751,1,215,0,1,Manhattan,Upper West Side,Entire home/apt
1582,29299404,127,3,40.79927,-73.9632,1,105,14,1,Manhattan,Upper West Side,Entire home/apt
1588,29726649,127,3,40.79063,-73.9689,1,900,0,1,Manhattan,Upper West Side,Entire home/apt
1596,30308289,127,3,40.80059,-73.9702,1,199,39,1,Manhattan,Upper West Side,Entire home/apt
1613,31533891,127,3,40.7889,-73.9768,1,150,12,1,Manhattan,Upper West Side,Entire home/apt
1614,31540929,127,3,40.79844,-73.9685,1,130,3,1,Manhattan,Upper West Side,Entire home/apt
1628,33048925,127,3,40.77624,-73.9797,1,225,11,1,Manhattan,Upper West Side,Entire home/apt
1636,33900911,127,3,40.77394,-73.9885,1,189,18,1,Manhattan,Upper West Side,Entire home/apt
1637,34059931,127,3,40.78666,-73.9745,1,190,1,1,Manhattan,Upper West Side,Entire home/apt
1641,34202651,127,3,40.79166,-73.9701,1,525,12,1,Manhattan,Upper West Side,Entire home/apt
1648,34569480,127,3,40.77275,-73.9888,1,109,64,1,Manhattan,Upper West Side,Entire home/apt
1672,35568112,127,3,40.77927,-73.9842,1,550,17,1,Manhattan,Upper West Side,Entire home/apt
