rates_id,neighbourhood_id,year,month,price
20201014,14,2020,10,84
20201114,14,2020,11,84
20201214,14,2020,12,84
2021114,14,2021,1,67
2021214,14,2021,2,66
2021314,14,2021,3,66
2021414,14,2021,4,66
2021514,14,2021,5,66
2021614,14,2021,6,66
2021714,14,2021,7,66
2021814,14,2021,8,66
2021914,14,2021,9,66
20211014,14,2021,10,66
20211114,14,2021,11,68
20211214,14,2021,12,68
2018115,15,2018,1,70
2018215,15,2018,2,71
2018315,15,2018,3,72
2018415,15,2018,4,73
2018515,15,2018,5,86
2018615,15,2018,6,94
2018715,15,2018,7,77
2018815,15,2018,8,75
2018915,15,2018,9,75
20181015,15,2018,10,75
20181115,15,2018,11,75
20181215,15,2018,12,75
2019115,15,2019,1,84
2019215,15,2019,2,85
2019315,15,2019,3,87
2019415,15,2019,4,90
2019515,15,2019,5,99
2019615,15,2019,6,108
2019715,15,2019,7,113
2019815,15,2019,8,114
2019915,15,2019,9,118
20191015,15,2019,10,117
20191115,15,2019,11,112
20191215,15,2019,12,115
2020115,15,2020,1,102
2020215,15,2020,2,103
2020315,15,2020,3,106
2020415,15,2020,4,109
2020515,15,2020,5,120
2020615,15,2020,6,116
2020715,15,2020,7,116
2020815,15,2020,8,112
2020915,15,2020,9,113
20201015,15,2020,10,114
20201115,15,2020,11,112
20201215,15,2020,12,112
2021115,15,2021,1,60
2021215,15,2021,2,60
2021315,15,2021,3,60
2021415,15,2021,4,60
2021515,15,2021,5,60
2021615,15,2021,6,60
2021715,15,2021,7,60
2021815,15,2021,8,60
2021915,15,2021,9,60
20211015,15,2021,10,60
20211115,15,2021,11,60
20211215,15,2021,12,60
2017116,16,2017,1,95
2017216,16,2017,2,53
2017316,16,2017,3,74
2017416,16,2017,4,91
2017516,16,2017,5,102
2017616,16,2017,6,101
2017716,16,2017,7,108
2017816,16,2017,8,121
2017916,16,2017,9,80
20171016,16,2017,10,87
20171116,16,2017,11,80
20171216,16,2017,12,112
2018116,16,2018,1,106
2018216,16,2018,2,95
2018316,16,2018,3,90
2018416,16,2018,4,88
2018516,16,2018,5,96
2018616,16,2018,6,98
2018716,16,2018,7,104
2018816,16,2018,8,98
2018916,16,2018,9,107
20181016,16,2018,10,106
20181116,16,2018,11,107
20181216,16,2018,12,98
2019116,16,2019,1,95
2019216,16,2019,2,96
2019316,16,2019,3,86
2019416,16,2019,4,78
2019516,16,2019,5,78
2019616,16,2019,6,79
2019716,16,2019,7,81
2019816,16,2019,8,82
2019916,16,2019,9,81
20191016,16,2019,10,81
20191116,16,2019,11,82
20191216,16,2019,12,82
2020116,16,2020,1,201
2020216,16,2020,2,206
2020316,16,2020,3,199
2020416,16,2020,4,194
2020516,16,2020,5,212
2020616,16,2020,6,197
2020716,16,2020,7,203
2020816,16,2020,8,194
2020916,16,2020,9,212
20201016,16,2020,10,207
20201116,16,2020,11,210
20201216,16,2020,12,210
2021116,16,2021,1,80
2021216,16,2021,2,80
2021316,16,2021,3,79
2021416,16,2021,4,79
2021516,16,2021,5,79
2021616,16,2021,6,79
2021716,16,2021,7,79
2021816,16,2021,8,79
2021916,16,2021,9,79
20211016,16,2021,10,79
20211116,16,2021,11,79
20211216,16,2021,12,79
2017117,17,2017,1,130
2017217,17,2017,2,130
2017317,17,2017,3,130
2017417,17,2017,4,130
2017517,17,2017,5,130
2017617,17,2017,6,130
2017717,17,2017,7,130
2017817,17,2017,8,130
2017917,17,2017,9,130
20171017,17,2017,10,130
20171117,17,2017,11,130
20171217,17,2017,12,130
2018117,17,2018,1,100
2018217,17,2018,2,100
2018317,17,2018,3,100
2018417,17,2018,4,100
2018517,17,2018,5,100
2018617,17,2018,6,100
2018717,17,2018,7,104
2018817,17,2018,8,105
