id,superhost,neighborhood_id,borough_id,latitude,longitude,roomtype_id,price,number_of_reviews
95747,0,96,2,40.71055,-73.951,1,140,13
95883,0,52,2,40.69465,-73.9546,1,200,5
96471,1,63,2,40.68513,-73.9665,2,171,13
98076,1,52,2,40.67859,-73.9413,1,159,2
98663,0,99,3,40.74893,-73.9954,1,130,19
99085,1,76,2,40.68795,-73.9733,1,123,18
99662,0,113,3,40.71841,-73.9902,1,135,28
100002,1,128,3,40.85295,-73.9336,2,49,151
100186,1,79,2,40.66918,-73.9919,1,130,104
100368,0,99,3,40.74056,-74.0014,1,167,33
101053,0,96,2,40.71125,-73.9561,1,120,37
102995,0,127,3,40.78558,-73.9696,1,212,45
103161,0,96,2,40.71577,-73.9605,1,96,133
103311,1,81,2,40.73778,-73.9537,2,599,9
103557,0,106,3,40.73534,-73.98,2,150,4
105469,0,174,4,40.58615,-73.8125,2,70,16
105790,0,108,3,40.82123,-73.9542,2,80,150
106363,1,108,3,40.82773,-73.9523,2,75,417
106647,1,52,2,40.68505,-73.9568,1,125,99
106906,0,63,2,40.68625,-73.9672,1,110,12
107630,0,81,2,40.72911,-73.9549,1,175,276
107895,0,127,3,40.77944,-73.9857,1,100,59
112100,0,67,2,40.67539,-73.9609,1,165,3
112304,0,108,3,40.8054,-73.9519,2,90,1
112435,1,76,2,40.69088,-73.9731,2,95,177
113092,0,76,2,40.6905,-73.9787,2,90,0
113265,0,67,2,40.67555,-73.9506,2,55,270
114123,0,93,2,40.66527,-73.9886,1,259,34
115535,0,108,3,40.82399,-73.9533,2,65,37
115748,0,131,4,40.76434,-73.9213,1,101,32
116551,0,108,3,40.80588,-73.9492,1,70,170
117425,0,58,2,40.69263,-73.9944,1,129,100
118061,1,52,2,40.68448,-73.9275,1,110,85
121861,1,87,2,40.67644,-73.9808,1,165,23
125163,1,52,2,40.68569,-73.9304,2,99,41
126443,0,103,3,40.72939,-73.9886,1,349,420
126816,0,127,3,40.79918,-73.9661,2,85,3
127387,0,79,2,40.66862,-73.9926,1,260,3
128975,0,108,3,40.81333,-73.9445,1,143,131
132516,1,149,4,40.70925,-73.8526,1,105,33
132661,1,109,3,40.75505,-73.9919,2,55,74
133025,1,117,3,40.7463,-73.9793,2,68,134
134934,0,96,2,40.71823,-73.9585,1,250,27
135393,1,72,2,40.651,-73.9489,2,50,290
135465,0,76,2,40.68626,-73.976,1,170,100
135706,0,99,3,40.74488,-74.001,1,112,10
136493,0,87,2,40.67632,-73.9762,1,250,20
139624,0,67,2,40.67456,-73.9515,1,73,78
140133,1,96,2,40.71363,-73.9602,1,249,172
140973,1,103,3,40.72274,-73.9758,1,225,78
141154,0,55,2,40.6858,-73.9828,1,120,263
141335,0,87,2,40.67535,-73.9765,1,900,35
142069,0,103,3,40.72485,-73.9781,1,100,22
144087,1,108,3,40.80473,-73.9532,1,259,21
144148,0,103,3,40.72217,-73.9842,2,67,32
145064,0,96,2,40.71943,-73.9565,1,145,8
148201,0,107,3,40.72831,-74.0018,1,175,18
148259,0,96,2,40.71541,-73.9414,1,250,79
148825,1,127,3,40.79765,-73.9625,1,150,218
149287,0,126,3,40.78508,-73.9533,1,250,0
149777,0,49,1,40.89747,-73.8639,1,114,248
150804,1,113,3,40.72008,-73.984,1,300,27
150989,0,96,2,40.71546,-73.9644,1,155,18
151199,1,131,4,40.75725,-73.911,1,129,457
151478,0,96,2,40.7102,-73.945,2,87,8
152259,0,108,3,40.81156,-73.9457,2,58,124
152263,1,108,3,40.80497,-73.9502,1,300,230
153780,1,103,3,40.72587,-73.9844,2,175,184
154934,0,108,3,40.82426,-73.9463,2,75,38
155296,0,96,2,40.71624,-73.9627,1,250,41
157673,0,52,2,40.68101,-73.9408,1,65,92
158061,0,52,2,40.68669,-73.9199,2,165,27
158176,1,96,2,40.71534,-73.9591,1,98,136
158955,0,96,2,40.70867,-73.9428,1,142,450
159749,0,52,2,40.68048,-73.9394,2,87,76
159815,0,52,2,40.68048,-73.9394,2,81,52
159913,0,99,3,40.74346,-73.9988,2,150,30
162493,0,96,2,40.71323,-73.9575,1,450,39
162508,0,67,2,40.67212,-73.9506,1,130,30
163814,0,103,3,40.72636,-73.9892,1,129,333
164989,0,121,3,40.72303,-73.9971,2,151,80
166006,0,127,3,40.80006,-73.9605,1,250,189
166172,0,60,2,40.68478,-73.9066,2,55,70
166983,0,62,2,40.68252,-73.9962,1,350,6
168123,0,93,2,40.66085,-73.9854,1,95,109
168810,0,127,3,40.78569,-73.9758,1,175,11
169306,0,43,1,40.85811,-73.9068,2,37,138
169464,0,96,2,40.70667,-73.9652,1,85,98
169483,1,80,2,40.60452,-73.971,1,110,0
170420,0,102,3,40.7932,-73.9401,1,79,15
170761,1,76,2,40.68768,-73.9761,2,85,56
171304,0,127,3,40.79067,-73.9762,1,125,96
171562,0,99,3,40.75027,-73.9967,1,200,19
172499,0,126,3,40.77938,-73.9487,1,250,26
173151,1,81,2,40.72901,-73.9581,2,78,262
174966,0,127,3,40.7735,-73.987,1,2500,30
176653,0,103,3,40.72974,-73.982,2,100,50
177495,0,99,3,40.73918,-73.9949,1,550,10
177606,0,111,3,40.74112,-73.9769,2,129,104
179741,1,119,3,40.72212,-73.9964,1,99,16
182069,1,102,3,40.79056,-73.9468,1,95,115
182095,1,129,3,40.73631,-73.9998,1,165,66
182177,1,1,1,40.86466,-73.8571,1,125,303
187986,0,99,3,40.73862,-73.9976,1,250,2
188674,0,103,3,40.73217,-73.988,1,165,63
189135,1,109,3,40.76311,-73.9939,2,106,101
189181,0,99,3,40.74695,-74.0045,2,282,1
189732,1,73,2,40.67497,-73.8731,1,172,215
189787,0,67,2,40.66788,-73.9481,1,108,103
190542,0,52,2,40.68967,-73.9545,1,190,47
190968,0,88,2,40.67946,-73.965,1,99,37
190974,1,87,2,40.66836,-73.9817,1,130,210
191541,0,123,3,40.7609,-73.9869,1,450,55
195123,0,128,3,40.83403,-73.9455,2,75,232
195233,0,89,2,40.65557,-73.9561,2,61,60
195240,0,89,2,40.65557,-73.9561,2,65,81
195989,1,87,2,40.67641,-73.9816,2,82,220
197753,1,108,3,40.83127,-73.9472,2,68,320
197931,0,109,3,40.76243,-73.992,1,91,94
197942,1,52,2,40.68497,-73.9559,1,107,228
200645,0,126,3,40.76739,-73.9557,4,90,0
200955,0,122,3,40.73069,-73.9806,1,125,21
201992,0,87,2,40.6755,-73.9786,1,190,106
202273,0,52,2,40.68812,-73.9493,2,55,72
203901,0,126,3,40.7694,-73.9572,1,190,8
204065,0,63,2,40.68634,-73.9616,1,448,66
204833,0,96,2,40.7093,-73.9497,2,85,9
205043,1,123,3,40.75895,-73.9883,2,109,399
205867,0,96,2,40.71893,-73.9428,1,120,101
206316,0,76,2,40.68765,-73.9707,1,157,4
206772,0,96,2,40.71413,-73.966,1,190,41
208122,0,113,3,40.71897,-73.9883,1,125,34
208148,0,96,2,40.71973,-73.9558,1,185,14
209310,1,179,4,40.73826,-73.9246,2,49,281
211078,0,81,2,40.73049,-73.9612,1,185,228
212109,0,129,3,40.73854,-74.0082,2,80,10
212178,1,123,3,40.75877,-73.9886,1,225,201
212544,0,79,2,40.67688,-73.9859,1,100,9
213330,0,113,3,40.71712,-73.989,2,151,27
214917,0,195,5,40.60742,-74.1439,1,76,2
215560,1,52,2,40.68741,-73.9574,2,60,177
216080,1,76,2,40.691,-73.9737,2,175,72
217580,0,77,2,40.61927,-74.0307,1,80,9
218358,1,108,3,40.8078,-73.9521,2,60,22
